,name,urlid,overall,capHit,pos,SPD,STR,AGI,ACC,AWR,CTH,JMP,STA,INJ,TAK,POW,PWM,FNM,BKS,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,KR,TRK,ELU,BCV,SFA,SPM,JKM,CAR,RTE,CIT,SPC,RLS,THP,TAS,TAM,TAD,TOR,PAC,RBK,PBK,IMP,fights_for_extra_yards,possession_catches,aggressive_catches,rac_catches,sideline_catches,big_hitter,strips_ball,plays_ball_in_air,canAuction
0,Deion Sanders,28498,97,76,CB,97,58,97,97,96,87,97,96,96,63,65,44,53,58,91,97,97,96,88,25,10,97,35,97,93,44,95,96,65,55,72,86,40,55,10,10,10,10,10,45,45,56,,,,,,No,No,Aggressive,True
1,Deion Sanders,28499,97,76,CB,97,58,97,97,96,87,97,96,96,63,65,44,53,58,91,97,97,96,88,25,10,97,35,97,93,44,95,96,65,55,72,86,40,55,10,10,10,10,10,45,45,56,,,,,,No,No,Aggressive,True
2,Deion Sanders,28500,97,76,CB,97,58,97,97,96,87,97,96,96,63,65,44,53,58,91,97,97,96,88,25,10,97,35,97,93,44,95,96,65,55,72,86,40,55,10,10,10,10,10,45,45,56,,,,,,No,No,Aggressive,True
3,Sean Taylor,19,97,74,FS,94,83,95,96,91,82,96,98,95,92,96,77,88,90,96,91,80,95,82,18,12,60,75,70,85,80,89,90,78,20,71,65,45,32,15,15,15,15,15,45,45,87,,,,,,Yes,Yes,Aggressive,False
4,Sean Taylor,22,97,74,FS,94,83,95,96,91,82,96,98,95,92,96,77,88,90,96,91,80,95,82,18,12,60,75,70,85,80,89,90,78,20,71,65,45,32,15,15,15,15,15,45,45,87,,,,,,Yes,Yes,Aggressive,False
5,Sean Taylor,20,97,74,FS,94,83,95,96,91,82,96,98,95,92,96,77,88,90,96,91,80,95,82,18,12,60,75,70,85,80,89,90,78,20,71,65,45,32,15,15,15,15,15,45,45,87,,,,,,Yes,Yes,Aggressive,False
6,Sean Taylor,21,97,74,FS,94,83,95,96,91,82,96,98,95,92,96,77,88,90,96,91,80,95,82,18,12,60,75,70,85,80,89,90,78,20,71,65,45,32,15,15,15,15,15,45,45,87,,,,,,Yes,Yes,Aggressive,False
7,Calvin Johnson,27573,96,84,WR,93,75,94,95,91,95,97,96,91,38,15,10,10,45,47,17,12,22,15,15,15,33,79,93,90,88,92,95,72,92,92,97,94,35,15,15,10,10,10,67,47,68,Yes,Yes,Yes,Yes,Yes,,,,True
8,Todd Gurley II,1306002399,96,69,HB,93,74,94,93,91,84,89,93,86,61,56,37,39,54,55,40,37,42,37,41,40,86,87,94,93,90,94,94,93,78,80,81,78,50,53,53,53,50,42,62,76,65,Yes,No,No,No,No,,,,False
9,Landon Collins,29511,96,63,SS,91,76,86,93,92,84,90,92,88,95,95,70,83,86,96,92,86,94,88,43,43,55,74,80,81,69,65,83,80,38,74,73,47,51,38,38,38,39,38,61,61,88,,,,,,Yes,No,Aggressive,True
10,Casey Hayward,29508,96,58,CB,90,65,90,90,95,90,89,93,88,80,76,66,72,80,92,95,94,97,96,50,51,57,51,77,81,53,76,80,72,45,67,69,46,53,41,42,41,43,42,63,63,75,,,,,,No,No,Aggressive,True
11,Aaron Donald,29501,96,53,LE,83,94,82,90,92,66,76,90,92,94,84,95,88,94,91,92,58,62,42,47,46,39,52,41,47,50,47,46,65,42,56,65,42,45,38,39,38,41,39,59,59,92,,,,,,Yes,Yes,,True
12,Cameron Jordan,1305010697,96,58,RE,81,92,80,87,94,63,71,91,93,95,92,95,86,95,95,94,57,71,54,57,54,42,42,50,52,51,51,54,65,45,58,58,50,54,42,42,42,44,42,63,63,95,,,,,,No,Yes,,False
13,Travis Kelce,1305000890,96,50,TE,87,83,88,89,90,92,93,90,87,66,32,35,35,51,53,32,30,32,28,48,45,37,90,83,89,92,83,89,77,91,92,92,88,72,71,69,64,59,42,85,81,83,Yes,No,Yes,Yes,Yes,,,,False
14,Kawann Short,1305001112,96,53,DT,72,89,71,86,95,66,72,87,94,94,85,95,84,95,93,95,56,67,47,42,42,39,53,42,49,50,42,39,63,42,51,51,44,42,39,39,39,41,39,61,61,94,,,,,,No,No,,False
15,Julio Jones,1305010615,96,79,WR,95,76,95,93,91,93,96,93,91,52,33,30,30,51,55,36,36,40,33,40,33,74,77,87,88,86,86,89,81,93,92,95,95,51,36,32,30,35,31,73,61,68,Yes,No,Yes,Yes,Yes,,,,False
16,Harrison Smith,1305011440,96,59,SS,89,76,89,92,96,86,89,91,93,89,94,81,70,85,93,96,85,94,82,45,42,36,68,64,52,51,68,64,73,38,72,74,40,45,38,38,38,41,38,58,58,82,,,,,,Yes,No,Aggressive,False
17,Jack Conklin,1305017663,96,60,RT,75,90,65,84,94,56,66,90,92,63,50,44,44,52,54,47,43,44,42,46,47,41,50,44,43,44,43,43,59,44,44,44,48,48,40,41,40,43,41,94,96,94,,,,,,,,,False
18,Brandon Graham,1304009837,96,55,LE,81,89,84,88,95,63,79,87,92,95,92,95,92,93,94,95,72,78,55,49,48,46,60,59,68,66,58,66,56,49,57,58,56,48,45,46,45,49,46,64,64,94,,,,,,Yes,Yes,,False
19,Tom Brady,1304001327,96,72,QB,67,69,71,71,96,66,48,95,95,56,41,40,40,53,52,46,41,45,40,45,44,45,55,69,71,58,63,71,69,43,43,52,44,93,96,94,91,86,96,54,45,55,,,,,,,,,False
20,Mel Renfro,21533,95,62,CB,95,64,94,92,93,81,95,95,94,72,80,53,68,67,94,93,94,95,89,20,20,93,53,91,83,54,88,91,84,40,65,79,43,20,20,20,15,15,15,45,45,64,,,,,,Yes,Yes,Aggressive,True
21,Mel Renfro,21534,95,62,CB,95,64,94,92,93,81,95,95,94,72,80,53,68,67,94,93,94,95,89,20,20,93,53,91,83,54,88,91,84,40,65,79,43,20,20,20,15,15,15,45,45,64,,,,,,Yes,Yes,Aggressive,True
22,Bo Jackson,27504,95,75,FB,94,93,94,95,93,74,94,96,86,62,40,25,25,40,40,30,25,25,25,64,51,77,93,87,91,93,90,93,90,68,70,63,71,80,73,67,54,84,73,83,86,83,Yes,No,No,No,No,,,,True
23,Reshad Jones,9,95,55,SS,88,72,88,91,94,85,92,91,85,91,92,85,73,87,93,94,82,91,83,46,46,51,59,55,65,56,65,72,72,51,67,68,39,46,41,38,37,44,42,59,59,82,,,,,,Yes,No,Aggressive,True
24,Deshaun Watson,7,95,57,QB,90,64,92,93,88,45,84,92,87,38,31,26,26,31,37,30,27,31,26,32,32,35,53,82,78,58,75,82,68,32,37,36,35,90,89,88,85,94,86,36,32,40,,,,,,,,,True
25,DeMarco Murray,8,95,62,HB,91,83,92,92,92,78,86,87,86,56,50,34,34,50,50,45,35,35,36,43,44,72,92,84,93,93,92,93,89,78,81,80,82,50,65,64,54,57,47,58,78,57,Yes,No,No,No,Yes,,,,True
26,David DeCastro,28501,95,56,RG,62,95,69,81,90,47,79,89,92,56,42,33,33,43,46,38,30,35,33,49,50,33,33,36,33,33,33,33,56,39,36,42,46,49,32,33,32,35,33,94,93,95,,,,,,,,,True
27,Mel Renfro,21535,95,62,CB,95,64,94,92,93,81,95,95,94,72,80,53,68,67,94,93,94,95,89,20,20,93,53,91,83,54,88,91,84,40,65,79,43,20,20,20,15,15,15,45,45,64,,,,,,Yes,Yes,Aggressive,True
