,ACC,AGI,AWR,BCV,BKS,Blanket Coverage,CAR,CIT,CTH,ELU,FNM,Go Deep,IMP,INJ,JKM,JMP,KAC,KPW,KR,MCV,Move the Sticks,PAC,PBK,POW,PRC,PRS,PUR,PWM,Physical Front,Pick Specialist,Playmaker,Pound the Rock,RBK,RLS,RTE,Read and React,SFA,SPC,SPD,SPM,STA,STR,Secure Tackler,TAD,TAK,TAM,TAS,THP,TOR,TRK,Toughness,ZCV,id,ovr,player,pos,size
0,97.0,96.0,96.0,96.0,25.0,0.0,94.0,78.0,88.0,97.0,25.0,0.0,56.0,90.0,97.0,94.0,26.0,26.0,68.0,25.0,1.0,30.0,74.0,25.0,25.0,25.0,38.0,25.0,0.0,0.0,0.0,0.0,52.0,74.0,87.0,0.0,79.0,79.0,97.0,95.0,96.0,74.0,0.0,30.0,53.0,35.0,35.0,35.0,30.0,85.0,0.0,25.0,35001.0,98.0,Chris Johnson,HB,"Ht: 5' 11"" Wt: 203"
1,95.0,97.0,92.0,89.0,59.0,0.0,79.0,90.0,94.0,94.0,38.0,1.0,62.0,87.0,92.0,95.0,69.0,75.0,85.0,43.0,0.0,39.0,59.0,42.0,46.0,59.0,54.0,38.0,0.0,0.0,0.0,0.0,74.0,90.0,94.0,0.0,80.0,97.0,95.0,92.0,94.0,48.0,0.0,41.0,58.0,42.0,43.0,59.0,42.0,63.0,0.0,46.0,35002.0,96.0,Odell Beckham Jr,WR,"Ht: 5' 11"" Wt: 198"
2,94.0,97.0,90.0,95.0,68.0,0.0,75.0,76.0,84.0,95.0,78.0,0.0,71.0,94.0,93.0,97.0,42.0,47.0,92.0,96.0,0.0,38.0,58.0,79.0,90.0,94.0,86.0,67.0,0.0,0.0,0.0,0.0,58.0,66.0,54.0,0.0,80.0,85.0,94.0,93.0,94.0,69.0,0.0,51.0,74.0,54.0,69.0,73.0,55.0,72.0,1.0,91.0,35003.0,96.0,Patrick Peterson,CB,"Ht: 6' 1"" Wt: 203"
3,90.0,78.0,93.0,41.0,38.0,0.0,66.0,68.0,69.0,38.0,28.0,1.0,96.0,89.0,44.0,85.0,38.0,38.0,28.0,30.0,0.0,28.0,97.0,34.0,32.0,28.0,37.0,28.0,0.0,0.0,0.0,0.0,90.0,54.0,51.0,0.0,43.0,59.0,82.0,38.0,93.0,89.0,0.0,27.0,52.0,28.0,27.0,41.0,29.0,44.0,0.0,34.0,35004.0,96.0,Terron Armstead,LT,"Ht: 6' 5"" Wt: 304"
4,93.0,90.0,91.0,57.0,91.0,0.0,76.0,74.0,84.0,69.0,81.0,0.0,93.0,88.0,61.0,96.0,44.0,45.0,36.0,81.0,0.0,36.0,57.0,94.0,91.0,75.0,96.0,89.0,0.0,0.0,0.0,0.0,57.0,48.0,39.0,1.0,57.0,75.0,93.0,60.0,95.0,86.0,0.0,35.0,94.0,36.0,35.0,41.0,38.0,57.0,0.0,88.0,35005.0,96.0,Ryan Shazier,MLB,"Ht: 6' 1"" Wt: 230"
5,90.0,87.0,91.0,70.0,94.0,0.0,74.0,70.0,71.0,64.0,89.0,0.0,95.0,84.0,70.0,91.0,53.0,53.0,48.0,73.0,0.0,48.0,66.0,95.0,91.0,65.0,95.0,96.0,1.0,0.0,0.0,0.0,66.0,52.0,49.0,0.0,73.0,71.0,89.0,68.0,90.0,84.0,1.0,47.0,93.0,48.0,47.0,59.0,49.0,69.0,0.0,78.0,35006.0,96.0,Jadeveon Clowney,LE,"Ht: 6' 5"" Wt: 266"
6,97.0,94.0,85.0,84.0,41.0,0.0,70.0,83.0,89.0,88.0,33.0,1.0,58.0,82.0,86.0,90.0,39.0,38.0,75.0,38.0,0.0,34.0,59.0,38.0,40.0,38.0,46.0,33.0,0.0,0.0,0.0,0.0,63.0,85.0,90.0,0.0,58.0,88.0,98.0,82.0,88.0,55.0,0.0,34.0,45.0,36.0,38.0,45.0,38.0,58.0,0.0,42.0,35007.0,92.0,John Ross,WR,
7,76.0,55.0,89.0,29.0,86.0,0.0,51.0,40.0,42.0,29.0,77.0,0.0,84.0,88.0,29.0,59.0,33.0,38.0,32.0,37.0,0.0,29.0,51.0,86.0,89.0,45.0,88.0,89.0,0.0,0.0,0.0,0.0,51.0,33.0,29.0,0.0,29.0,40.0,72.0,29.0,78.0,98.0,0.0,29.0,88.0,29.0,29.0,38.0,32.0,46.0,1.0,45.0,35008.0,92.0,Stephen Paea,DT,
8,90.0,77.0,89.0,75.0,41.0,0.0,88.0,74.0,74.0,65.0,36.0,0.0,88.0,89.0,70.0,88.0,40.0,41.0,45.0,28.0,0.0,30.0,78.0,33.0,30.0,27.0,53.0,38.0,0.0,0.0,0.0,0.0,91.0,74.0,63.0,0.0,85.0,68.0,80.0,70.0,89.0,93.0,0.0,29.0,60.0,33.0,36.0,38.0,33.0,84.0,1.0,30.0,35009.0,91.0,Tommy Bohanon,FB,
9,90.0,84.0,89.0,54.0,88.0,0.0,75.0,74.0,78.0,46.0,79.0,0.0,90.0,92.0,60.0,84.0,44.0,48.0,38.0,73.0,0.0,38.0,60.0,90.0,89.0,62.0,92.0,91.0,1.0,0.0,0.0,0.0,60.0,62.0,57.0,0.0,58.0,69.0,89.0,54.0,88.0,72.0,0.0,37.0,91.0,38.0,37.0,47.0,40.0,59.0,0.0,82.0,35010.0,91.0,Bruce Irvin,ROLB,
