,ACC,AGI,AWR,BCV,BKS,Blanket Coverage,CAR,CIT,CTH,ELU,FNM,Go Deep,IMP,INJ,JKM,JMP,KAC,KPW,KR,MCV,Move the Sticks,PAC,PBK,POW,PRC,PRS,PUR,PWM,Physical Front,Pick Specialist,Playmaker,Pound the Rock,RBK,RLS,RTE,Read and React,SFA,SPC,SPD,SPM,STA,STR,Secure Tackler,TAD,TAK,TAM,TAS,THP,TOR,TRK,Toughness,ZCV,id,ovr,player,pos,size
0,84,73,96,62,36,0,78,76,83,52,27,0,39,95,66,84,36,36,35,29,1,98,27,28,29,27,39,27,0,0,0,0,34,66,84,0,64,74,79,62,96,76,0,91,45,96,98,95,90,54,0,32,31010,99,Nick Foles,QB,"Ht: 6' 6"" Wt: 243"
1,64,61,96,58,10,0,63,32,45,66,10,0,25,88,60,58,25,25,20,25,1,95,25,42,30,25,23,10,0,0,0,0,25,30,30,0,42,36,66,60,95,60,0,92,32,95,95,92,85,53,0,25,31011,95,Kurt Warner,QB,"Ht: 6' 2"" Wt: 214"
2,95,92,94,95,25,0,94,73,75,91,25,0,62,90,91,88,25,25,65,45,0,23,72,56,42,36,58,25,0,0,0,1,55,68,71,0,88,68,92,90,96,80,0,30,52,34,38,46,46,93,0,38,31012,95,Terrell Davis,HB,"Ht: 5' 11"" Wt: 211"
3,94,87,93,92,35,0,94,90,87,69,25,0,81,95,85,93,25,25,46,20,0,28,77,48,25,25,40,25,0,0,0,0,84,78,82,0,92,89,90,90,94,91,0,40,56,44,46,45,43,92,1,25,31013,95,Franco Harris,FB,"Ht: 6' 2"" Wt: 230"
4,93,93,93,90,28,0,79,89,94,93,38,1,54,96,89,95,20,20,82,75,0,20,46,40,64,63,76,26,0,0,1,0,58,88,95,0,75,91,95,88,92,62,0,20,45,25,25,25,20,64,0,72,31014,95,Paul Warfield,WR,"Ht: 6' 0"" Wt: 198"
5,77,73,94,15,20,0,42,15,42,15,15,0,93,94,15,52,20,20,15,20,0,10,92,50,25,15,45,15,0,0,0,1,95,15,15,0,15,15,70,15,90,91,0,10,53,10,10,35,10,15,0,20,31015,95,Larry Little,RG,"Ht: 6' 1"" Wt: 265"
6,88,84,94,38,95,0,62,65,68,36,88,0,95,94,36,90,20,20,35,76,0,15,45,94,94,69,90,94,1,0,0,0,45,20,25,0,68,58,84,34,92,94,1,20,95,25,25,25,15,72,0,82,31016,95,Ted Hendricks,LOLB,"Ht: 6' 7"" Wt: 220"
7,92,84,94,56,86,0,62,75,76,48,68,0,85,95,56,88,20,20,36,81,0,20,45,94,94,79,93,72,0,0,0,0,45,20,25,1,64,74,88,36,93,88,0,20,95,25,25,25,20,66,0,89,31017,95,Willie Lanier,MLB,"Ht: 6' 1"" Wt: 245"
8,91,88,94,32,95,0,68,58,68,30,90,0,93,90,68,87,20,20,15,70,0,15,45,95,94,70,96,95,0,0,0,0,45,35,15,0,58,64,87,52,94,92,0,15,95,15,15,20,15,56,1,80,31018,95,DeMarcus Ware,ROLB,"Ht: 6' 4"" Wt: 258"
9,95,91,94,78,68,1,69,70,77,84,56,0,78,94,71,92,25,25,74,93,0,20,45,82,94,91,91,66,0,0,0,0,45,25,28,0,68,65,93,62,95,66,0,20,84,25,25,25,20,48,0,92,31019,95,Willie Brown,CB,"Ht: 6' 1"" Wt: 195"
